elect_dist,republican,democratic,green,libertarian,year
23001,572,171,7,21,2016
23002,573,156,15,13,2016
23003,559,167,6,18,2016
23004,99,32,1,5,2016
23005,427,277,11,6,2016
23006,474,276,9,8,2016
23007,526,259,4,15,2016
23008,472,243,3,18,2016
23009,469,307,14,18,2016
23010,424,353,10,21,2016
23011,414,303,17,11,2016
23012,145,292,8,10,2016
23013,273,264,5,9,2016
23014,444,373,10,8,2016
23015,161,252,5,3,2016
23016,133,262,3,4,2016
23017,120,295,7,2,2016
23018,42,503,7,0,2016
23019,175,542,12,8,2016
23020,0,0,0,0,2016
23021,109,317,8,6,2016
23022,0,0,0,0,2016
23023,265,193,1,2,2016
23024,98,479,4,3,2016
23025,206,332,1,7,2016
23026,173,353,5,6,2016
23027,478,48,1,9,2016
23028,411,145,4,12,2016
23029,169,461,2,4,2016
23030,121,572,4,7,2016
23031,103,466,5,2,2016
23032,17,327,3,0,2016
23033,24,557,2,3,2016
23034,38,395,5,4,2016
23035,160,476,8,5,2016
23036,244,361,10,11,2016
23037,95,313,2,9,2016
23038,14,74,1,1,2016
23039,353,133,0,6,2016
23040,401,160,6,13,2016
23041,332,122,3,11,2016
23042,38,609,5,4,2016
23043,69,295,5,0,2016
23044,553,203,2,6,2016
23045,534,199,1,7,2016
23046,619,176,3,2,2016
23047,333,126,2,3,2016
23048,307,133,6,6,2016
23049,577,154,8,11,2016
23050,456,294,13,17,2016
23051,554,196,4,10,2016
23052,316,194,6,2,2016
23053,313,443,13,6,2016
23054,298,385,8,8,2016
23055,88,270,4,3,2016
23056,146,474,11,3,2016
23057,245,567,11,9,2016
23058,238,501,8,7,2016
23059,162,469,8,4,2016
23060,171,487,13,6,2016
23061,274,381,14,6,2016
23062,394,421,8,12,2016
23063,310,457,5,7,2016
23064,415,433,7,11,2016
23065,303,493,7,11,2016
23066,71,378,1,4,2016
23067,26,378,3,0,2016
23068,54,380,7,4,2016
23069,108,385,2,4,2016
23070,137,483,12,5,2016
23071,0,8,0,0,2016
23072,0,0,0,0,2016
23073,0,0,0,0,2016
23074,0,0,0,0,2016
23075,0,0,0,0,2016
23076,0,0,0,0,2016
23077,0,0,0,0,2016
23078,0,0,0,0,2016
23079,0,0,0,0,2016
23080,0,0,0,0,2016
23081,0,0,0,0,2016
23082,0,0,0,0,2016
23083,0,0,0,0,2016
23084,69,123,5,0,2016
23085,140,220,10,9,2016
23086,137,226,5,4,2016
24001,135,275,5,9,2016
24002,215,534,10,10,2016
24003,163,345,13,7,2016
24004,103,222,6,2,2016
24005,219,506,12,13,2016
24006,225,432,12,9,2016
24007,150,338,4,5,2016
24008,26,191,2,3,2016
24009,0,0,0,0,2016
24010,84,275,3,4,2016
24011,104,345,5,1,2016
24012,19,63,0,0,2016
24013,87,421,3,9,2016
24014,91,281,10,5,2016
24015,128,267,5,3,2016
24016,102,226,5,5,2016
24017,215,420,7,15,2016
24018,273,539,4,10,2016
24019,275,477,4,14,2016
24020,256,472,7,12,2016
24021,250,488,11,11,2016
24022,119,255,3,8,2016
24023,31,61,1,0,2016
24024,274,457,7,17,2016
24025,300,481,4,5,2016
24026,54,353,1,8,2016
24027,34,651,5,3,2016
24028,204,338,6,5,2016
24029,148,617,4,4,2016
24030,106,669,6,5,2016
24031,63,292,4,3,2016
24032,151,157,5,4,2016
24033,344,300,7,11,2016
24034,208,164,5,2,2016
24035,127,400,9,11,2016
24036,27,218,2,2,2016
24037,99,607,15,7,2016
24038,5,14,0,0,2016
24039,21,79,1,2,2016
24040,92,575,5,5,2016
24041,44,102,3,3,2016
24042,75,270,2,5,2016
24043,67,602,5,5,2016
24044,65,430,8,0,2016
24045,116,382,4,4,2016
24046,85,411,6,5,2016
24047,100,455,5,1,2016
24048,21,179,1,1,2016
24049,138,499,16,8,2016
24050,159,500,11,7,2016
24051,112,626,6,3,2016
24052,122,517,3,3,2016
24053,116,568,9,7,2016
24054,86,693,5,5,2016
24055,20,414,4,3,2016
24056,9,25,0,0,2016
24057,22,238,4,0,2016
24058,15,113,0,0,2016
24059,57,367,6,2,2016
24060,26,123,5,0,2016
24061,112,306,7,4,2016
24062,49,567,1,3,2016
24063,35,375,0,0,2016
24064,50,308,2,1,2016
24065,77,514,2,2,2016
24066,78,585,2,3,2016
24067,101,413,7,1,2016
24068,74,436,10,4,2016
24069,49,331,6,6,2016
24070,100,444,5,4,2016
24071,76,515,9,2,2016
24072,81,488,2,3,2016
24073,76,523,9,1,2016
24074,69,520,2,1,2016
24075,91,464,1,5,2016
24076,108,567,1,2,2016
24077,80,376,3,0,2016
24078,88,594,25,7,2016
24079,65,491,9,2,2016
24080,0,0,0,0,2016
24081,0,0,0,0,2016
24082,0,0,0,0,2016
24083,0,0,0,0,2016
25001,270,324,11,4,2016
25002,31,56,0,1,2016
25003,140,448,7,6,2016
25004,139,369,16,2,2016
25005,39,72,0,2,2016
25006,109,322,3,3,2016
25007,111,570,5,19,2016
25008,182,304,6,2,2016
25009,59,105,0,0,2016
25010,290,313,2,16,2016
25011,316,281,10,10,2016
25012,337,336,5,13,2016
25013,189,288,10,2,2016
25014,209,267,3,5,2016
25015,170,273,10,5,2016
25016,252,427,9,12,2016
25017,214,498,13,6,2016
25018,153,638,13,3,2016
25019,145,620,14,10,2016
25020,152,429,6,7,2016
25021,221,463,7,10,2016
25022,169,501,9,10,2016
25023,99,180,7,4,2016
25024,205,467,9,7,2016
25025,194,393,5,7,2016
25026,19,61,2,1,2016
25027,255,383,6,14,2016
25028,196,336,11,9,2016
25029,308,379,16,9,2016
25030,186,389,9,16,2016
25031,43,330,4,5,2016
25032,191,439,9,8,2016
25033,217,394,14,16,2016
25034,15,29,1,2,2016
25035,160,250,4,4,2016
25036,257,353,17,9,2016
25037,253,383,6,9,2016
25038,211,268,3,10,2016
25039,249,354,11,9,2016
25040,316,393,15,15,2016
25041,65,156,3,3,2016
25042,206,394,8,6,2016
25043,210,381,9,7,2016
25044,193,404,9,7,2016
25045,140,367,6,5,2016
25046,134,284,1,6,2016
25047,167,294,5,4,2016
25048,118,239,3,5,2016
25049,103,256,9,6,2016
25050,137,361,8,6,2016
25051,94,279,6,0,2016
25052,126,283,6,6,2016
25053,150,399,3,5,2016
25054,95,514,12,2,2016
25055,128,379,4,4,2016
25056,174,314,8,7,2016
25057,112,195,7,3,2016
25058,231,364,10,8,2016
25059,192,423,7,6,2016
25060,151,179,6,7,2016
25061,244,385,3,6,2016
25062,128,381,11,6,2016
25063,200,352,11,12,2016
25064,40,129,2,4,2016
25065,129,362,4,2,2016
25066,26,44,0,4,2016
25067,0,0,0,0,2016
25068,136,264,11,5,2016
26001,147,117,2,5,2016
26002,52,76,3,3,2016
26003,294,391,8,13,2016
26004,354,321,12,8,2016
26005,385,369,8,15,2016
26006,329,310,4,7,2016
26007,233,234,2,12,2016
26008,337,397,15,12,2016
26009,350,367,3,8,2016
26010,315,392,3,16,2016
26011,306,234,9,11,2016
26012,277,227,3,8,2016
26013,401,356,12,9,2016
26014,385,286,8,11,2016
26015,239,359,2,3,2016
26016,342,465,6,10,2016
26017,405,365,5,9,2016
26018,387,161,3,9,2016
26019,247,474,9,5,2016
26020,257,475,3,3,2016
26021,201,373,3,17,2016
26022,208,358,7,9,2016
26023,210,436,3,5,2016
26024,148,391,13,9,2016
26025,183,382,3,6,2016
26026,205,550,10,8,2016
26027,238,357,4,5,2016
26028,273,379,11,7,2016
26029,354,361,7,16,2016
26030,322,427,13,14,2016
26031,336,398,9,18,2016
26032,269,456,18,8,2016
26033,315,460,11,11,2016
26034,200,196,6,3,2016
26035,305,333,5,9,2016
26036,98,178,5,5,2016
26037,291,376,7,9,2016
26038,26,39,0,0,2016
26039,113,265,7,8,2016
26040,143,238,7,2,2016
26041,14,40,0,1,2016
26042,151,248,4,5,2016
26043,134,160,3,3,2016
26044,93,206,2,9,2016
26045,245,487,15,10,2016
26046,270,449,8,9,2016
26047,238,509,5,7,2016
26048,170,271,3,11,2016
26049,161,275,3,4,2016
26050,211,346,13,4,2016
26051,145,267,2,11,2016
26052,161,344,19,11,2016
26053,254,457,14,6,2016
26054,313,338,5,9,2016
26055,211,335,5,7,2016
26056,278,410,7,12,2016
26057,276,467,15,13,2016
26058,269,421,10,6,2016
26059,341,384,15,14,2016
26060,373,363,11,7,2016
26061,299,325,6,10,2016
26062,268,365,18,9,2016
26063,282,376,9,14,2016
26064,283,306,6,10,2016
26065,301,454,10,7,2016
26066,360,427,12,16,2016
26067,323,356,9,11,2016
26068,312,298,12,11,2016
26069,336,411,9,14,2016
26070,215,475,14,13,2016
26071,98,402,1,3,2016
26072,218,384,12,11,2016
26073,189,779,3,5,2016
26074,143,370,8,8,2016
